model,sim_time,arrival_mean,service_mean,num_nurses,seed,total_arrived,total_served,average_wait,average_system_time,utilization,max_queue_length,average_wait_red,average_wait_yellow,average_wait_green,scenario_group,scenario_name
fifo,1000,3,4,1,7002,298,253,62.366853304568274,66.23514614329295,0.9786780881973451,45,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7003,346,242,142.27519106346708,146.2398100162496,0.9594377865733754,104,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7004,309,234,139.06177146465842,143.28947431568284,0.9892824671397158,75,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7005,313,248,115.05890637443522,118.99337714639525,0.9757487514460845,64,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7006,329,248,141.6029860947162,145.54385377933193,0.9773351857847106,83,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7007,324,249,127.21128758837139,131.171314137725,0.9860466107890459,81,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7008,317,242,129.5648019532529,133.66912998968925,0.9932473848176,77,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7009,305,260,48.95988419352485,52.56872857114717,0.9382995381818006,49,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7010,309,257,77.66067207520774,81.39164839417242,0.9588609139739271,53,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7011,340,254,102.66416689781157,106.5570214242726,0.9887850497211037,86,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7012,321,256,115.1642731557209,119.01791252790245,0.9865316792784761,64,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7013,320,248,89.59223777371528,93.48917504960707,0.9664404444211624,71,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7014,318,256,127.89451107673358,131.73671751946895,0.9836048493402537,66,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7015,320,241,109.41061389919616,113.49564399138309,0.9844922522170491,78,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7016,313,270,52.78228981129731,56.4269214029173,0.9840505297373967,43,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7017,297,255,115.51320639215244,119.38717897291785,0.9878630080951808,51,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7018,360,271,139.35357561815587,142.99207002917134,0.986031985385203,88,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7019,368,256,131.1505110182849,135.0152417635058,0.9893710707765462,111,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
